City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Santa Clara,CU,84.2,light rain,22.4,-79.9667,El Carmen
645,Rio Grande,BR,75.2,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
646,Porto Novo,BJ,86.0,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
647,Oranjestad,AW,78.35,broken clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
649,Bikaner,IN,75.11,clear sky,28.0167,73.3,Karina Guest House
651,Sao Sebastiao,BR,82.76,few clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
654,Galle,LK,79.29,overcast clouds,6.0367,80.217,Amangalla
655,Nishihara,JP,71.6,scattered clouds,26.1842,127.7558,Minshuku Agaihama
657,Barbacena,BR,73.4,broken clouds,-21.2258,-43.7736,Itale Apart Hotel
658,Nsanje,MW,75.25,light rain,-16.92,35.262,Nsanje Discovery Lodge
659,Humaita,BR,79.83,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
660,Santarem,BR,82.4,broken clouds,-2.4431,-54.7083,Ecotur Lodge
666,Anuradhapura,LK,72.68,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
667,Tautira,PF,78.8,light rain,-17.7333,-149.15,Pension Oaoa
668,Mananjary,MG,77.43,light rain,-21.2167,48.3333,Vahiny Lodge
669,Jalalabad,AF,71.38,scattered clouds,34.4265,70.4515,انصاف چهاردهي هوټل
671,Bang Saphan,TH,75.69,clear sky,11.2126,99.5117,Ladawan Boutique Hotel
673,Karratha,AU,78.64,clear sky,-20.7377,116.8463,ibis Styles Karratha
674,Takoradi,GH,82.62,overcast clouds,4.8845,-1.7554,Raybow International Hotel
675,Ende,ID,78.73,light rain,-8.8432,121.6623,Dwi Putra Hotel - Ende
676,Playas,EC,80.83,overcast clouds,-2.6333,-80.3833,Hostal Promenade
677,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
680,Amuntai,ID,75.85,heavy intensity rain,-2.4177,115.2494,Hotel Balqis
683,Ayolas,PY,91.54,clear sky,-27.4,-56.9,Hotel Ayolas
684,Huarmey,PE,77.72,scattered clouds,-10.0681,-78.1522,Hotel Miramar
687,Kirakira,SB,79.27,overcast clouds,-10.4544,161.9205,SanBiz Lodge
688,Melong,CM,74.16,light rain,5.1218,9.9614,Washinton City Mordern Bar And Motel
692,Afua,BR,77.85,overcast clouds,-0.1567,-50.3867,Hotel Dias
