City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Rosa Zarate,EC,2021-01-30 21:07:28,0.3333,-79.4667,80.44,84,40,5.82
209,Abbotsford,CA,2021-01-30 21:07:28,49.058,-122.2526,43.0,93,90,8.05
210,Diffa,NE,2021-01-30 21:07:29,13.3154,12.6113,70.41,22,0,9.89
211,Saint-Philippe,RE,2021-01-30 21:07:29,-21.3585,55.7679,78.8,65,0,4.61
212,Sinnamary,GF,2021-01-30 21:07:16,5.3833,-52.95,79.09,86,100,14.2
213,Batagay-Alyta,RU,2021-01-30 21:07:29,67.8006,130.4114,-35.99,81,94,1.59
214,Kloulklubed,PW,2021-01-30 21:07:29,7.0419,134.2556,80.6,74,75,8.05
215,Tombouctou,ML,2021-01-30 21:07:30,20.0,-3.0,69.3,19,24,8.41
216,Ixtapa,MX,2021-01-30 21:07:30,20.7,-105.2,77.0,69,1,12.66
217,Atagay,RU,2021-01-30 21:07:30,55.1033,99.3875,-28.89,83,99,5.79
218,Kodiak,US,2021-01-30 21:07:30,57.79,-152.4072,33.8,55,1,14.97
219,Berlevag,NO,2021-01-30 21:07:30,70.8578,29.0864,25.05,96,100,22.66
220,Tual,ID,2021-01-30 21:06:48,-5.6667,132.75,83.1,77,81,10.25
221,Bilibino,RU,2021-01-30 21:07:30,68.0546,166.4372,-27.65,79,1,5.39
222,Codrington,AU,2021-01-30 21:06:40,-38.2667,141.9667,59.13,71,89,6.49
223,Fortuna,US,2021-01-30 21:07:31,40.5982,-124.1573,55.0,71,75,27.63
224,Hovd,MN,2021-01-30 21:07:31,48.0056,91.6419,9.09,83,99,0.94
225,West Plains,US,2021-01-30 21:05:14,36.7281,-91.8524,45.0,93,90,12.66
226,Udachnyy,RU,2021-01-30 21:07:31,66.4167,112.4,-32.64,78,96,9.48
227,Anadyr,RU,2021-01-30 21:07:31,64.75,177.4833,-5.8,65,95,15.66
228,Dori,BF,2021-01-30 21:07:31,14.0354,-0.0345,75.58,17,0,10.65
229,Kruisfontein,ZA,2021-01-30 21:07:32,-34.0033,24.7314,64.0,83,1,1.7
230,Northam,GB,2021-01-30 21:07:32,51.0333,-4.2167,41.0,90,64,14.0
231,La Crosse,US,2021-01-30 21:04:06,43.8014,-91.2396,35.6,55,90,11.5
232,Miri,MY,2021-01-30 21:07:32,4.4148,114.0089,77.0,100,40,3.44
233,Belmonte,BR,2021-01-30 21:07:32,-15.8631,-38.8828,82.4,78,75,2.3
234,Ulaangom,MN,2021-01-30 21:07:32,49.9811,92.0667,-3.3,81,0,0.56
235,Haines Junction,CA,2021-01-30 21:07:32,60.7522,-137.5108,-4.0,77,100,1.05
236,Sitka,US,2021-01-30 21:07:33,57.0531,-135.33,41.0,52,90,11.5
237,Methoni,GR,2021-01-30 21:07:33,36.8197,21.7049,54.0,87,66,4.61
238,Saint-Augustin,CA,2021-01-30 21:07:33,51.226,-58.6502,30.49,94,88,12.15
